delegation,superficie,chambres,salle_de_bains,etat,etage,gouvernorat_ariana,gouvernorat_ben-arous,gouvernorat_la-manouba,gouvernorat_tunis,prix
26.0,88,2,1,9,1,0.0,0.0,0.0,1.0,340000.0
23.0,100,2,1,9,1,0.0,0.0,0.0,1.0,135000.0
36.0,152,2,1,9,1,0.0,0.0,0.0,1.0,680000.0
36.0,120,1,1,9,1,0.0,0.0,0.0,1.0,470000.0
31.0,145,3,1,11,4,0.0,0.0,0.0,1.0,260000.0
36.0,132,2,2,10,5,0.0,0.0,0.0,1.0,620000.0
36.0,145,2,1,9,1,0.0,0.0,0.0,1.0,550000.0
37.0,209,3,1,10,1,0.0,0.0,0.0,1.0,774000.0
26.0,80,2,1,10,1,0.0,0.0,0.0,1.0,250000.0
23.0,65,2,1,9,1,0.0,0.0,0.0,1.0,125000.0
36.0,249,2,1,9,1,0.0,0.0,0.0,1.0,1270000.0
26.0,30,1,1,10,1,0.0,0.0,0.0,1.0,275000.0
37.0,242,3,2,10,1,0.0,0.0,0.0,1.0,900000.0
35.0,164,3,3,9,3,0.0,0.0,0.0,1.0,538000.0
36.0,99,2,2,9,1,0.0,0.0,0.0,1.0,334000.0
36.0,147,3,3,9,1,0.0,0.0,0.0,1.0,698000.0
26.0,68,1,1,9,1,0.0,0.0,0.0,1.0,255000.0
37.0,139,2,1,10,1,0.0,0.0,0.0,1.0,584000.0
37.0,158,2,2,8,2,0.0,0.0,0.0,1.0,750000.0
36.0,191,2,1,10,1,0.0,0.0,0.0,1.0,1146000.0
35.0,146,3,3,10,1,0.0,0.0,0.0,1.0,650000.0
35.0,93,2,1,11,1,0.0,0.0,0.0,1.0,235000.0
37.0,133,2,1,10,1,0.0,0.0,0.0,1.0,513000.0
35.0,73,1,1,11,1,0.0,0.0,0.0,1.0,210000.0
36.0,131,1,1,9,1,0.0,0.0,0.0,1.0,386000.0
37.0,250,3,2,8,1,0.0,0.0,0.0,1.0,740000.0
35.0,160,3,2,8,6,0.0,0.0,0.0,1.0,350000.0
26.0,127,1,1,8,1,0.0,0.0,0.0,1.0,420000.0
36.0,288,5,3,11,1,0.0,0.0,0.0,1.0,980000.0
35.0,172,2,1,11,1,0.0,0.0,0.0,1.0,750000.0
36.0,50,1,1,8,1,0.0,0.0,0.0,1.0,240000.0
36.0,150,3,2,9,1,0.0,0.0,0.0,1.0,695000.0
26.0,195,4,2,7,4,0.0,0.0,0.0,1.0,395000.0
36.0,300,2,1,11,1,0.0,0.0,0.0,1.0,550000.0
35.0,120,2,1,9,1,0.0,0.0,0.0,1.0,370000.0
35.0,116,2,1,11,1,0.0,0.0,0.0,1.0,280000.0
36.0,121,1,1,9,1,0.0,0.0,0.0,1.0,470000.0
36.0,210,1,1,9,1,0.0,0.0,0.0,1.0,430000.0
19.0,30,1,1,11,1,0.0,0.0,0.0,1.0,180000.0
33.0,140,3,1,11,1,0.0,0.0,0.0,1.0,285000.0
36.0,100,2,1,8,3,0.0,0.0,0.0,1.0,220000.0
36.0,170,3,1,8,1,0.0,0.0,0.0,1.0,780000.0
33.0,117,2,1,7,5,0.0,0.0,0.0,1.0,380000.0
38.0,194,3,2,11,1,0.0,0.0,0.0,1.0,860000.0
26.0,57,1,1,10,1,0.0,0.0,0.0,1.0,206000.0
36.0,61,2,1,9,1,0.0,0.0,0.0,1.0,370000.0
33.0,130,2,1,8,4,0.0,0.0,0.0,1.0,400000.0
36.0,67,1,1,11,1,0.0,0.0,0.0,1.0,280000.0
36.0,127,2,1,7,1,0.0,0.0,0.0,1.0,365000.0
35.0,85,1,1,9,3,0.0,0.0,0.0,1.0,415000.0
36.0,199,3,3,11,1,0.0,0.0,0.0,1.0,620000.0
35.0,45,1,1,9,3,0.0,0.0,0.0,1.0,245000.0
35.0,74,2,1,10,1,0.0,0.0,0.0,1.0,259500.0
35.0,164,2,2,10,1,0.0,0.0,0.0,1.0,472000.0
35.0,66,1,1,10,1,0.0,0.0,0.0,1.0,238000.0
35.0,102,2,1,10,1,0.0,0.0,0.0,1.0,375000.0
35.0,137,2,2,10,1,0.0,0.0,0.0,1.0,434000.0
26.0,60,1,1,11,1,0.0,0.0,0.0,1.0,170000.0
29.0,141,2,2,7,1,0.0,0.0,0.0,1.0,385000.0
30.0,178,3,3,9,3,0.0,0.0,0.0,1.0,680000.0
36.0,300,4,5,8,9,0.0,0.0,0.0,1.0,1490000.0
38.0,300,9,2,6,4,0.0,0.0,0.0,1.0,990000.0
26.0,132,3,2,6,4,0.0,0.0,0.0,1.0,320000.0
35.0,236,4,3,9,1,0.0,0.0,0.0,1.0,1100000.0
29.0,87,2,1,11,2,0.0,0.0,0.0,1.0,255000.0
36.0,100,2,1,8,1,0.0,0.0,0.0,1.0,383000.0
26.0,54,1,1,9,5,0.0,0.0,0.0,1.0,180000.0
35.0,140,2,1,11,1,0.0,0.0,0.0,1.0,450000.0
35.0,150,3,1,8,1,0.0,0.0,0.0,1.0,390000.0
35.0,180,3,3,10,1,0.0,0.0,0.0,1.0,970000.0
36.0,125,2,2,9,4,0.0,0.0,0.0,1.0,590000.0
35.0,140,2,3,10,1,0.0,0.0,0.0,1.0,620000.0
36.0,60,1,1,10,1,0.0,0.0,0.0,1.0,336000.0
37.0,175,3,2,11,2,0.0,0.0,0.0,1.0,490000.0
36.0,141,2,3,9,1,0.0,0.0,0.0,1.0,649000.0
26.0,150,3,2,8,2,0.0,0.0,0.0,1.0,390000.0
36.0,98,2,1,11,1,0.0,0.0,0.0,1.0,368000.0
13.0,100,3,1,11,1,0.0,0.0,0.0,1.0,250000.0
35.0,66,1,1,10,1,0.0,0.0,0.0,1.0,236000.0
35.0,136,2,2,8,1,0.0,0.0,0.0,1.0,580000.0
35.0,300,2,2,10,1,0.0,0.0,0.0,1.0,560000.0
35.0,64,1,1,10,1,0.0,0.0,0.0,1.0,232000.0
35.0,66,1,1,10,1,0.0,0.0,0.0,1.0,231000.0
35.0,160,3,3,10,1,0.0,0.0,0.0,1.0,550000.0
35.0,50,1,1,11,1,0.0,0.0,0.0,1.0,370000.0
35.0,53,1,1,11,1,0.0,0.0,0.0,1.0,240000.0
26.0,124,2,2,10,1,0.0,0.0,0.0,1.0,420000.0
36.0,162,3,2,10,1,0.0,0.0,0.0,1.0,825000.0
36.0,101,2,1,11,1,0.0,0.0,0.0,1.0,558000.0
36.0,103,2,1,11,1,0.0,0.0,0.0,1.0,572000.0
38.0,300,3,2,10,1,0.0,0.0,0.0,1.0,1560000.0
35.0,182,3,3,10,1,0.0,0.0,0.0,1.0,970000.0
25.0,90,3,1,8,3,0.0,0.0,0.0,1.0,320000.0
35.0,85,2,1,10,1,0.0,0.0,0.0,1.0,313000.0
37.0,166,3,2,10,1,0.0,0.0,0.0,1.0,400000.0
36.0,120,2,2,10,1,0.0,0.0,0.0,1.0,600000.0
29.0,198,3,2,6,1,0.0,0.0,0.0,1.0,750000.0
26.0,89,2,1,10,1,0.0,0.0,0.0,1.0,338950.0
36.0,118,2,2,10,1,0.0,0.0,0.0,1.0,547000.0
26.0,116,2,1,8,1,0.0,0.0,0.0,1.0,345000.0
35.0,70,1,1,10,1,0.0,0.0,0.0,1.0,260000.0
36.0,134,3,2,10,1,0.0,0.0,0.0,1.0,459000.0
36.0,175,3,3,11,1,0.0,0.0,0.0,1.0,975000.0
26.0,75,1,1,9,1,0.0,0.0,0.0,1.0,250000.0
36.0,82,3,1,10,1,0.0,0.0,0.0,1.0,450000.0
36.0,110,2,1,10,1,0.0,0.0,0.0,1.0,480000.0
26.0,132,3,1,10,1,0.0,0.0,0.0,1.0,415000.0
11.0,179,3,3,11,1,0.0,0.0,0.0,1.0,550000.0
36.0,55,1,1,11,1,0.0,0.0,0.0,1.0,385000.0
2.0,85,2,1,7,1,0.0,0.0,0.0,1.0,135000.0
26.0,75,1,1,11,1,0.0,0.0,0.0,1.0,175000.0
11.0,75,3,1,11,1,0.0,0.0,0.0,1.0,100000.0
36.0,93,2,1,10,1,0.0,0.0,0.0,1.0,380000.0
36.0,183,3,1,8,1,0.0,0.0,0.0,1.0,850000.0
38.0,100,2,1,5,2,0.0,0.0,0.0,1.0,415000.0
36.0,128,3,2,11,1,0.0,0.0,0.0,1.0,350000.0
26.0,107,2,1,6,2,0.0,0.0,0.0,1.0,230000.0
26.0,100,2,1,6,2,0.0,0.0,0.0,1.0,270000.0
33.0,110,4,2,4,3,0.0,0.0,0.0,1.0,220000.0
26.0,153,3,1,10,5,0.0,0.0,0.0,1.0,390000.0
35.0,170,3,2,10,1,0.0,0.0,0.0,1.0,1126000.0
38.0,142,2,2,10,8,0.0,0.0,0.0,1.0,784000.0
35.0,166,2,2,10,1,0.0,0.0,0.0,1.0,632000.0
25.0,178,3,1,11,1,0.0,0.0,0.0,1.0,500000.0
23.0,154,4,1,10,1,0.0,0.0,0.0,1.0,300000.0
25.0,120,3,1,11,1,0.0,0.0,0.0,1.0,295000.0
37.0,180,3,2,11,1,0.0,0.0,0.0,1.0,660000.0
26.0,200,3,2,11,1,0.0,0.0,0.0,1.0,520000.0
36.0,300,4,2,5,1,0.0,0.0,0.0,1.0,850000.0
36.0,121,2,1,8,1,0.0,0.0,0.0,1.0,550000.0
36.0,124,2,2,9,3,0.0,0.0,0.0,1.0,590000.0
36.0,222,3,3,11,1,0.0,0.0,0.0,1.0,1500000.0
35.0,159,3,3,9,5,0.0,0.0,0.0,1.0,507000.0
35.0,74,1,1,9,4,0.0,0.0,0.0,1.0,259000.0
35.0,182,3,3,9,2,0.0,0.0,0.0,1.0,600000.0
36.0,118,2,1,9,1,0.0,0.0,0.0,1.0,480000.0
36.0,158,3,3,8,2,0.0,0.0,0.0,1.0,720000.0
36.0,70,1,1,10,1,0.0,0.0,0.0,1.0,226000.0
26.0,128,4,1,10,1,0.0,0.0,0.0,1.0,360000.0
37.0,150,2,1,8,1,0.0,0.0,0.0,1.0,930000.0
26.0,154,3,2,7,1,0.0,0.0,0.0,1.0,370000.0
38.0,289,3,3,11,1,0.0,0.0,0.0,1.0,1445000.0
36.0,67,1,1,11,1,0.0,0.0,0.0,1.0,280000.0
35.0,118,2,2,9,3,0.0,0.0,0.0,1.0,389000.0
38.0,194,3,1,10,1,0.0,0.0,0.0,1.0,849000.0
35.0,109,2,2,10,1,0.0,0.0,0.0,1.0,371000.0
36.0,97,2,2,10,1,0.0,0.0,0.0,1.0,548000.0
38.0,300,4,3,11,1,0.0,0.0,0.0,1.0,1800000.0
35.0,118,2,2,9,1,0.0,0.0,0.0,1.0,376000.0
36.0,125,3,2,9,1,0.0,0.0,0.0,1.0,416000.0
36.0,245,3,2,8,1,0.0,0.0,0.0,1.0,900000.0
31.0,220,4,4,11,1,0.0,0.0,0.0,1.0,720000.0
36.0,153,3,2,7,1,0.0,0.0,0.0,1.0,520000.0
36.0,188,3,2,7,5,0.0,0.0,0.0,1.0,690000.0
2.0,140,3,1,6,1,0.0,0.0,0.0,1.0,205000.0
26.0,94,2,1,9,3,0.0,0.0,0.0,1.0,270000.0
36.0,76,2,1,9,1,0.0,0.0,0.0,1.0,435000.0
36.0,157,3,2,10,1,0.0,0.0,0.0,1.0,700000.0
36.0,100,2,1,10,1,0.0,0.0,0.0,1.0,555000.0
23.0,100,2,1,11,1,0.0,0.0,0.0,1.0,270000.0
35.0,67,1,1,10,1,0.0,0.0,0.0,1.0,241000.0
31.0,109,3,1,11,1,0.0,0.0,0.0,1.0,260000.0
26.0,147,3,2,11,5,0.0,0.0,0.0,1.0,370000.0
36.0,103,3,1,11,1,0.0,0.0,0.0,1.0,300000.0
37.0,150,2,2,10,1,0.0,0.0,0.0,1.0,980000.0
37.0,111,1,1,11,1,0.0,0.0,0.0,1.0,720000.0
36.0,130,2,2,9,1,0.0,0.0,0.0,1.0,720000.0
38.0,194,3,3,6,1,0.0,0.0,0.0,1.0,865000.0
26.0,74,1,1,8,6,0.0,0.0,0.0,1.0,230000.0
38.0,232,3,2,11,1,0.0,0.0,0.0,1.0,1000000.0
19.0,300,3,1,9,1,0.0,0.0,0.0,1.0,1850000.0
36.0,181,3,3,9,1,0.0,0.0,0.0,1.0,795000.0
26.0,112,3,2,11,1,0.0,0.0,0.0,1.0,594000.0
36.0,109,2,1,9,1,0.0,0.0,0.0,1.0,250000.0
35.0,115,2,2,9,1,0.0,0.0,0.0,1.0,490000.0
33.0,116,2,1,8,3,0.0,0.0,0.0,1.0,420000.0
35.0,117,2,2,9,1,0.0,0.0,0.0,1.0,386000.0
35.0,189,3,1,7,1,0.0,0.0,0.0,1.0,640000.0
35.0,122,2,2,9,3,0.0,0.0,0.0,1.0,400000.0
36.0,162,2,1,9,1,0.0,0.0,0.0,1.0,825000.0
37.0,138,2,2,10,1,0.0,0.0,0.0,1.0,692500.0
37.0,149,2,1,10,1,0.0,0.0,0.0,1.0,972000.0
37.0,138,2,1,10,1,0.0,0.0,0.0,1.0,531552.0
36.0,112,2,1,9,1,0.0,0.0,0.0,1.0,398000.0
19.0,137,2,1,9,1,0.0,0.0,0.0,1.0,300000.0
36.0,163,3,2,10,1,0.0,0.0,0.0,1.0,825000.0
19.0,93,2,1,7,1,0.0,0.0,0.0,1.0,270000.0
19.0,100,3,1,11,2,0.0,0.0,0.0,1.0,260000.0
35.0,160,2,2,10,1,0.0,0.0,0.0,1.0,865000.0
36.0,170,3,3,8,1,0.0,0.0,0.0,1.0,788000.0
36.0,153,3,2,11,1,0.0,0.0,0.0,1.0,530000.0
35.0,120,2,2,10,1,0.0,0.0,0.0,1.0,564000.0
19.0,97,2,1,6,4,0.0,0.0,0.0,1.0,280000.0
36.0,230,3,2,11,1,0.0,0.0,0.0,1.0,790000.0
36.0,200,3,2,8,1,0.0,0.0,0.0,1.0,1600000.0
35.0,102,2,1,10,1,0.0,0.0,0.0,1.0,750000.0
26.0,100,2,1,10,1,0.0,0.0,0.0,1.0,260000.0
37.0,120,1,1,11,1,0.0,0.0,0.0,1.0,680000.0
36.0,172,4,3,9,1,0.0,0.0,0.0,1.0,780000.0
36.0,99,2,2,9,1,0.0,0.0,0.0,1.0,437000.0
36.0,136,3,3,9,1,0.0,0.0,0.0,1.0,590000.0
36.0,126,2,2,10,1,0.0,0.0,0.0,1.0,668000.0
29.0,160,3,1,11,2,0.0,0.0,0.0,1.0,304000.0
36.0,136,3,3,9,1,0.0,0.0,0.0,1.0,620000.0
35.0,167,3,3,9,2,0.0,0.0,0.0,1.0,635000.0
36.0,200,3,2,11,1,0.0,0.0,0.0,1.0,990000.0
36.0,70,1,1,11,1,0.0,0.0,0.0,1.0,410000.0
36.0,100,2,1,9,1,0.0,0.0,0.0,1.0,340000.0
25.0,41,2,1,11,1,0.0,0.0,0.0,1.0,110000.0
36.0,75,2,1,9,1,0.0,0.0,0.0,1.0,570000.0
36.0,155,3,2,7,3,0.0,0.0,0.0,1.0,550000.0
36.0,68,2,1,6,2,0.0,0.0,0.0,1.0,400000.0
36.0,115,2,2,11,1,0.0,0.0,0.0,1.0,415000.0
31.0,180,3,2,5,1,0.0,0.0,0.0,1.0,470000.0
35.0,206,2,2,6,1,0.0,0.0,0.0,1.0,390000.0
35.0,43,1,1,9,1,0.0,0.0,0.0,1.0,245000.0
26.0,109,2,1,6,6,0.0,0.0,0.0,1.0,250000.0
38.0,180,3,3,7,3,0.0,0.0,0.0,1.0,820000.0
26.0,73,1,1,6,3,0.0,0.0,0.0,1.0,175000.0
23.0,97,2,1,6,6,0.0,0.0,0.0,1.0,210000.0
36.0,185,3,3,9,1,0.0,0.0,0.0,1.0,1320000.0
36.0,83,2,1,9,3,0.0,0.0,0.0,1.0,450000.0
36.0,300,4,3,8,4,0.0,0.0,0.0,1.0,3000000.0
36.0,30,2,1,8,10,0.0,0.0,0.0,1.0,680000.0
36.0,300,12,6,11,1,0.0,0.0,0.0,1.0,900000.0
37.0,30,2,1,9,1,0.0,0.0,0.0,1.0,1850000.0
26.0,142,3,2,9,3,0.0,0.0,0.0,1.0,370000.0
35.0,167,3,3,9,1,0.0,0.0,0.0,1.0,635000.0
36.0,194,4,4,9,3,0.0,0.0,0.0,1.0,1150000.0
36.0,92,2,1,9,1,0.0,0.0,0.0,1.0,506000.0
36.0,137,2,2,9,1,0.0,0.0,0.0,1.0,724000.0
38.0,74,1,1,8,1,0.0,0.0,0.0,1.0,380000.0
25.0,114,3,1,11,2,0.0,0.0,0.0,1.0,230000.0
36.0,220,4,1,10,1,0.0,0.0,0.0,1.0,650000.0
36.0,172,3,2,10,1,0.0,0.0,0.0,1.0,855000.0
36.0,208,3,2,10,1,0.0,0.0,0.0,1.0,850000.0
38.0,238,3,2,10,1,0.0,0.0,0.0,1.0,1000000.0
37.0,149,2,1,9,1,0.0,0.0,0.0,1.0,410000.0
36.0,84,2,1,9,1,0.0,0.0,0.0,1.0,750000.0
36.0,300,4,3,8,1,0.0,0.0,0.0,1.0,950000.0
35.0,85,1,1,10,1,0.0,0.0,0.0,1.0,400000.0
36.0,67,2,1,9,1,0.0,0.0,0.0,1.0,276000.0
33.0,145,4,2,4,1,0.0,0.0,0.0,1.0,450000.0
29.0,120,3,2,8,4,0.0,0.0,0.0,1.0,290000.0
36.0,75,2,1,11,1,0.0,0.0,0.0,1.0,370000.0
35.0,137,3,2,11,1,0.0,0.0,0.0,1.0,410000.0
35.0,146,2,2,11,1,0.0,0.0,0.0,1.0,575000.0
38.0,220,3,2,10,1,0.0,0.0,0.0,1.0,1000000.0
26.0,65,1,1,9,4,0.0,0.0,0.0,1.0,227500.0
33.0,120,4,1,11,1,0.0,0.0,0.0,1.0,450000.0
31.0,100,3,1,4,1,0.0,0.0,0.0,1.0,220000.0
35.0,202,4,3,11,7,0.0,0.0,0.0,1.0,620000.0
37.0,150,2,2,11,1,0.0,0.0,0.0,1.0,950000.0
36.0,273,4,5,10,1,0.0,0.0,0.0,1.0,1801110.0
36.0,147,2,2,10,1,0.0,0.0,0.0,1.0,650000.0
36.0,190,3,3,9,3,0.0,0.0,0.0,1.0,1263000.0
36.0,30,1,1,9,1,0.0,0.0,0.0,1.0,300000.0
35.0,127,2,2,10,1,0.0,0.0,0.0,1.0,370000.0
36.0,152,3,3,9,1,0.0,0.0,0.0,1.0,820000.0
4.0,69,1,1,10,1,0.0,0.0,0.0,1.0,112470.0
36.0,155,2,1,9,1,0.0,0.0,0.0,1.0,580000.0
36.0,30,2,1,10,1,0.0,0.0,0.0,1.0,950000.0
26.0,64,1,1,8,4,0.0,0.0,0.0,1.0,240000.0
26.0,156,3,2,7,6,0.0,0.0,0.0,1.0,375000.0
35.0,87,1,1,11,1,0.0,0.0,0.0,1.0,330000.0
23.0,30,1,1,8,4,0.0,0.0,0.0,1.0,125000.0
23.0,87,2,1,11,1,0.0,0.0,0.0,1.0,120000.0
36.0,150,2,3,9,3,0.0,0.0,0.0,1.0,928000.0
35.0,74,1,1,9,1,0.0,0.0,0.0,1.0,350000.0
26.0,150,3,2,10,1,0.0,0.0,0.0,1.0,408000.0
36.0,187,4,2,8,1,0.0,0.0,0.0,1.0,970000.0
35.0,146,3,1,6,2,0.0,0.0,0.0,1.0,318000.0
35.0,131,2,2,9,1,0.0,0.0,0.0,1.0,486000.0
37.0,115,1,1,7,1,0.0,0.0,0.0,1.0,900000.0
35.0,158,4,2,11,1,0.0,0.0,0.0,1.0,645000.0
35.0,198,2,2,9,2,0.0,0.0,0.0,1.0,710000.0
20.0,120,3,2,11,1,0.0,0.0,0.0,1.0,265000.0
36.0,156,3,2,8,2,0.0,0.0,0.0,1.0,220000.0
26.0,127,2,2,11,1,0.0,0.0,0.0,1.0,400000.0
38.0,180,3,3,11,1,0.0,0.0,0.0,1.0,850000.0
36.0,85,1,1,10,1,0.0,0.0,0.0,1.0,290000.0
4.0,121,3,1,9,1,0.0,0.0,0.0,1.0,195860.0
36.0,264,2,1,9,1,0.0,0.0,0.0,1.0,570000.0
36.0,288,5,3,11,1,0.0,0.0,0.0,1.0,980000.0
38.0,80,2,1,11,1,0.0,0.0,0.0,1.0,325000.0
36.0,51,1,1,10,1,0.0,0.0,0.0,1.0,309000.0
36.0,247,4,3,11,1,0.0,0.0,0.0,1.0,820000.0
36.0,134,3,2,11,1,0.0,0.0,0.0,1.0,450000.0
35.0,291,3,3,9,1,0.0,0.0,0.0,1.0,970000.0
36.0,70,1,1,10,1,0.0,0.0,0.0,1.0,440000.0
26.0,148,3,2,11,1,0.0,0.0,0.0,1.0,370000.0
35.0,161,3,3,9,4,0.0,0.0,0.0,1.0,514000.0
36.0,51,2,1,9,2,0.0,0.0,0.0,1.0,295896.0
36.0,81,2,1,9,1,0.0,0.0,0.0,1.0,270000.0
38.0,137,2,2,7,8,0.0,0.0,0.0,1.0,500000.0
37.0,158,3,1,10,1,0.0,0.0,0.0,1.0,580000.0
36.0,166,3,2,10,1,0.0,0.0,0.0,1.0,748000.0
37.0,160,3,2,7,3,0.0,0.0,0.0,1.0,500000.0
36.0,126,2,2,10,1,0.0,0.0,0.0,1.0,592600.0
36.0,119,3,2,9,1,0.0,0.0,0.0,1.0,393000.0
37.0,140,2,1,10,1,0.0,0.0,0.0,1.0,420000.0
29.0,100,3,1,11,1,0.0,0.0,0.0,1.0,245000.0
33.0,114,2,2,10,1,0.0,0.0,0.0,1.0,380000.0
38.0,130,2,1,11,1,0.0,0.0,0.0,1.0,660000.0
38.0,171,2,2,8,1,0.0,0.0,0.0,1.0,850000.0
36.0,85,1,1,9,1,0.0,0.0,0.0,1.0,413000.0
35.0,101,4,1,10,1,0.0,0.0,0.0,1.0,325000.0
19.0,123,3,2,6,2,0.0,0.0,0.0,1.0,205000.0
35.0,160,3,2,11,1,0.0,0.0,0.0,1.0,785000.0
35.0,135,2,2,11,1,0.0,0.0,0.0,1.0,350000.0
26.0,129,1,1,11,1,0.0,0.0,0.0,1.0,410000.0
35.0,60,1,1,10,1,0.0,0.0,0.0,1.0,238000.0
36.0,113,2,2,11,1,0.0,0.0,0.0,1.0,490000.0
38.0,195,3,2,7,1,0.0,0.0,0.0,1.0,860000.0
36.0,266,2,1,9,1,0.0,0.0,0.0,1.0,679000.0
35.0,218,2,1,9,1,0.0,0.0,0.0,1.0,1100000.0
38.0,202,2,1,9,1,0.0,0.0,0.0,1.0,1300000.0
36.0,132,2,2,10,1,0.0,0.0,0.0,1.0,594000.0
35.0,123,2,2,10,1,0.0,0.0,0.0,1.0,455000.0
36.0,84,1,1,11,1,0.0,0.0,0.0,1.0,380000.0
26.0,147,3,2,11,1,0.0,0.0,0.0,1.0,370000.0
26.0,155,4,1,11,1,0.0,0.0,0.0,1.0,295000.0
26.0,70,1,1,9,1,0.0,0.0,0.0,1.0,239000.0
26.0,157,3,2,10,1,0.0,0.0,0.0,1.0,399000.0
26.0,50,1,1,10,1,0.0,0.0,0.0,1.0,210000.0
36.0,120,2,2,9,1,0.0,0.0,0.0,1.0,450000.0
36.0,93,2,1,11,1,0.0,0.0,0.0,1.0,380000.0
36.0,224,2,1,9,1,0.0,0.0,0.0,1.0,800000.0
35.0,170,3,2,10,1,0.0,0.0,0.0,1.0,745000.0
26.0,50,1,1,8,1,0.0,0.0,0.0,1.0,175000.0
35.0,130,2,2,11,1,0.0,0.0,0.0,1.0,310000.0
36.0,130,2,1,9,1,0.0,0.0,0.0,1.0,420000.0
36.0,154,3,3,11,1,0.0,0.0,0.0,1.0,530000.0
36.0,70,1,1,9,1,0.0,0.0,0.0,1.0,420000.0
36.0,300,3,3,9,1,0.0,0.0,0.0,1.0,1800000.0
35.0,104,2,1,11,1,0.0,0.0,0.0,1.0,250000.0
37.0,118,1,1,10,1,0.0,0.0,0.0,1.0,800000.0
